time,cpu,gpu,mem
1651500895.6163576,5.3,0.01,0.48358619511824424
1651500896.6253092,3.5,0.01,0.48358619511824424
1651500897.6316078,2.3,0.01,0.48358619511824424
1651500898.642293,1.6,0.01,0.48358619511824424
1651500899.6542826,2.7,0.01,0.48358619511824424
1651500900.6617367,1.9,0.01,0.48358619511824424
