time,cpu,gpu,mem
1651503189.2822318,6.6,0.06,0.38005411246551457
1651503190.282558,5.6,0.06,0.38005411246551457
1651503191.297845,5.0,0.06,0.38005411246551457
1651503192.300166,4.7,0.06,0.38005411246551457
1651503193.305479,5.9,0.06,0.38005411246551457
1651503194.3207657,4.9,0.06,0.38005411246551457
1651503195.324084,5.0,0.06,0.38005411246551457
1651503196.326405,4.9,0.06,0.38005411246551457
1651503197.3297236,4.6,0.06,0.38005411246551457
1651503198.3340392,5.0,0.06,0.38005411246551457
1651503199.3353631,4.8,0.06,0.38005411246551457
1651503200.339679,5.3,0.06,0.38005411246551457
1651503201.3410027,5.8,0.06,0.38005411246551457
1651503202.3423266,5.4,0.06,0.38005411246551457
1651503203.3436503,5.7,0.06,0.38005411246551457
1651503204.343977,5.0,0.06,0.38005411246551457
1651503205.3482928,5.5,0.06,0.38005411246551457
1651503206.3614593,6.2,0.06,0.38005411246551457
1651503207.3738544,11.1,0.06,0.38005411246551457
1651503208.3879797,8.4,0.06,0.38005411246551457
1651503209.3973129,5.3,0.06,0.38005411246551457
1651503210.4106054,5.3,0.06,0.38005411246551457
1651503211.4139235,6.6,0.06,0.38005411246551457
1651503212.4262183,5.6,0.06,0.38005411246551457
1651503213.4285393,7.7,0.06,0.38005411246551457
1651503214.4428282,7.3,0.06,0.38005411246551457
1651503215.443155,10.0,0.06,0.38005411246551457
1651503216.4554493,6.7,0.06,0.38005411246551457
1651503217.4697382,8.1,0.06,0.38005411246551457
1651503218.485025,7.7,0.06,0.38005411246551457
1651503219.5003116,9.5,0.06,0.38005411246551457
1651503220.500638,9.3,0.06,0.38005411246551457
1651503221.502959,9.1,0.06,0.38005411246551457
1651503222.5132587,9.7,0.06,0.38005411246551457
1651503223.526551,9.4,0.06,0.38005411246551457
1651503224.5378475,9.9,0.06,0.38005411246551457
1651503225.5381742,9.4,0.06,0.38005411246551457
1651503226.5524633,7.9,0.06,0.38005411246551457
1651503227.5647578,9.4,0.06,0.38005411246551457
1651503228.5670788,8.9,0.06,0.38005411246551457
