time,cpu,gpu,mem
1651504474.5529106,2.8,0.0,0.3617823067599409
1651504475.558069,0.7,0.0,0.3617823067599409
1651504476.5705674,0.9,0.0,0.3617823067599409
1651504477.5740783,0.8,0.0,0.3617823067599409
1651504478.582203,0.8,0.0,0.3617823067599409
1651504479.59736,0.6,0.0,0.3617823067599409
1651504480.6107008,0.9,0.0,0.3617823067599409
1651504481.6236722,0.5,0.0,0.3617823067599409
1651504482.6382902,0.6,0.0,0.3617823067599409
1651504483.641223,0.3,0.0,0.3617823067599409
1651504484.649141,0.8,0.0,0.3617823067599409
1651504485.659075,1.2,0.0,0.3617823067599409
1651504486.6733851,0.8,0.0,0.3617823067599409
1651504487.6854756,1.2,0.0,0.3617823067599409
1651504488.6874268,0.4,0.0,0.3617823067599409
1651504489.6903894,1.0,0.0,0.3617823067599409
1651504490.704163,1.0,0.0,0.3617823067599409
1651504491.7066908,0.3,0.0,0.3617823067599409
1651504492.7100892,0.8,0.0,0.3617823067599409
1651504493.7135265,0.5,0.0,0.3617823067599409
1651504494.7260964,0.9,0.0,0.3617823067599409
1651504495.7350268,1.3,0.0,0.3617823067599409
1651504496.7503064,0.6,0.0,0.3617823067599409
1651504497.7622857,1.0,0.0,0.3617823067599409
1651504498.7763228,0.9,0.0,0.3617823067599409
1651504499.7913034,1.0,0.0,0.3617823067599409
1651504500.7952724,0.5,0.0,0.3617823067599409
1651504501.7980764,0.5,0.0,0.3617823067599409
1651504502.8112333,0.6,0.0,0.3617823067599409
1651504503.8243864,0.8,0.0,0.3617823067599409
1651504504.839684,1.5,0.0,0.3617823067599409
1651504505.8493483,0.5,0.0,0.3617823067599409
1651504506.8540251,0.6,0.0,0.3617823067599409
1651504507.8620749,0.4,0.0,0.3617823067599409
1651504508.868053,0.4,0.0,0.3617823067599409
1651504509.8707478,1.5,0.0,0.3617823067599409
1651504510.8724577,5.3,0.0,0.3617823067599409
1651504511.8873627,5.8,0.0,0.3617823067599409
1651504512.8982515,3.1,0.0,0.3617823067599409
1651504513.91155,0.9,0.0,0.3617823067599409
1651504514.9203856,0.9,0.0,0.3617823067599409
1651504515.9229262,6.1,0.0,0.3617823067599409
1651504516.9350204,5.2,0.0,0.3617823067599409
1651504517.9443266,2.1,0.0,0.3617823067599409
1651504518.9463055,3.3,0.0,0.3617823067599409
1651504519.9589577,1.9,0.0,0.3617823067599409
1651504520.9677866,5.7,0.0,0.3617823067599409
1651504521.9817076,5.0,0.0,0.3617823067599409
1651504522.98913,2.2,0.0,0.3617823067599409
1651504523.99849,9.3,0.0,0.3617823067599409
1651504525.0021544,3.4,0.0,0.3617823067599409
1651504526.0118353,3.4,0.0,0.3617823067599409
1651504527.0211632,7.1,0.0,0.3617823067599409
1651504528.0299551,14.2,0.0,0.3617823067599409
1651504529.0363748,3.0,0.0,0.3617823067599409
1651504530.042512,6.1,0.0,0.3617823067599409
1651504531.0538092,23.7,0.0,0.3617823067599409
1651504532.0538654,23.9,0.0,0.3617823067599409
1651504533.0659287,22.7,0.0,0.3617823067599409
1651504534.0792625,16.8,0.0,0.3617823067599409
1651504535.0932386,16.5,0.0,0.3617823067599409
